signal,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ifr_mom15_lt2.0,short,60,147,11486635,-1.511174519015915,2.024416904383017,50.328581049409514,-0.005090779906332994,-21.511174519015913
ifr_mom60_lt5.0,short,15,147,5760574,-1.679694919961564,0.04593294092513584,49.05313212479692,-0.012264817478922866,-21.679694919961563
ifr_mom60_lt2.0,short,60,147,12049483,-1.697751929798096,1.9137830609177227,50.26812165980756,-0.004989982219438016,-21.697751929798095
ifr_level_gt5.0,long_momentum,60,147,1870614,-1.9494360789159442,-8.070061028120216,46.680211429588866,-0.029205142533367708,-21.949436078915944
ifr_mom15_lt1.0,short,240,147,14776625,-2.2481139311443585,7.573405517095795,51.212757721291815,0.0009589666478771873,-22.248113931144356
ifr_mom60_lt1.0,short,240,147,15243019,-2.4234024662515785,7.481341924538693,51.19937060484552,0.0009072398330108732,-22.423402466251577
ifr_mom15_lt5.0,short,30,147,5283436,-2.652088381448956,0.31955968198241524,49.48575844097951,-0.014004822480263862,-22.652088381448955
ifr_mom60_lt5.0,short,30,147,5760574,-2.7556824841082594,0.3423098680167645,49.49096837227379,-0.014178552584404666,-22.75568248410826
ifr_mom15_lt2.0,short,240,147,11486635,-2.8443221554986793,7.544463336233557,51.17065714057512,-0.0010636051322944417,-22.84432215549868
ifr_mom60_lt2.0,short,240,147,12049483,-2.9449626425261757,7.4040175252275775,51.15126691798539,-0.0008339982973429795,-22.944962642526175
ifr_level_gt10.0_fade,short_contrarian,5,145,875707,-3.1936977414298053,1.0975621626259666,49.835268407921305,0.0017646129918376453,-23.193697741429805
ifr_mom15_lt5.0,short,60,147,5283436,-3.657825501807798,1.4527797685298094,49.975954767220244,-0.015361854903862819,-23.657825501807796
ifr_mom60_lt5.0,short,60,147,5760574,-3.681528073136967,1.4229120309613779,49.995589896370014,-0.014425999080449687,-23.681528073136967
fr_diverge_z3.0,short,60,144,109245,-3.6946673932095657,35.69655159997513,51.384574414086565,0.03839577974916589,-23.694667393209563
ifr_mom60_lt5.0,short,240,147,5760574,-6.128313120357212,6.967172159679922,50.930893537695376,-0.01084815474526169,-26.128313120357213
