symbol,signal,direction,horizon_m,n_signals,mean_abs_ret,mean_ret,median_ret,win_rate,net_fees
0GUSDT,coiled_v0.1_oi3.0_momup,long,240,143,440.0949587551996,233.2941102234859,53.673264005369425,63.63636363636363,213.2941102234859
0GUSDT,coiled_v0.1_oi3.0_momdn,short,240,184,312.03622782450236,-49.00086661663013,-78.0947274457544,45.108695652173914,-69.00086661663013
0GUSDT,coiled_v0.15_oi1.0,abs_move,15,1801,57.953583302443214,0.9605287580716103,-0.5740857684133349,49.19489172681843,37.953583302443214
0GUSDT,coiled_v0.15_oi1.0_momup,long,15,726,66.66346492470497,6.8076174329115,-1.3352817697892538,48.484848484848484,-13.1923825670885
0GUSDT,coiled_v0.15_oi1.0_momdn,short,15,925,54.386035464839,3.671891476053877,0.8190008190001041,50.37837837837837,-16.328108523946124
0GUSDT,coiled_v0.15_oi1.0,abs_move,30,1801,85.38267760001622,3.111815884081758,-3.3863867253636215,47.80677401443643,65.38267760001622
0GUSDT,coiled_v0.15_oi1.0_momup,long,30,726,101.11968771599338,15.913572678111999,-1.6797754153563549,48.89807162534435,-4.086427321888001
0GUSDT,coiled_v0.15_oi1.0_momdn,short,30,925,77.52804332654591,5.900643418089168,5.017561465128217,52.54054054054053,-14.099356581910833
0GUSDT,coiled_v0.15_oi1.0,abs_move,60,1801,127.20519683775757,3.488110777013999,-8.168266285480952,47.862298722931705,107.20519683775757
0GUSDT,coiled_v0.15_oi1.0_momup,long,60,726,156.10584842849448,17.845349751606673,-9.094731328057604,47.38292011019284,-2.1546502483933274
0GUSDT,coiled_v0.15_oi1.0_momdn,short,60,925,111.27239450145655,4.415504794064129,6.82516209760009,51.24324324324324,-15.58449520593587
0GUSDT,coiled_v0.15_oi1.0,abs_move,240,1801,249.43758719961616,-33.81401326306079,-32.92289458089126,43.19822320932815,229.43758719961616
0GUSDT,coiled_v0.15_oi1.0_momup,long,240,726,291.13805183406356,-16.121697718794433,-41.79639114051059,44.352617079889804,-36.12169771879444
0GUSDT,coiled_v0.15_oi1.0_momdn,short,240,925,231.21919670579163,43.948182596942054,27.34172441427596,56.86486486486486,23.948182596942054
0GUSDT,coiled_v0.15_oi2.0,abs_move,15,915,70.04499128944633,3.6373527413277977,1.086012163338257,50.7103825136612,50.04499128944633
0GUSDT,coiled_v0.15_oi2.0_momup,long,15,367,85.85052086018479,13.346089668594843,1.5138899402011852,51.22615803814714,-6.653910331405157
0GUSDT,coiled_v0.15_oi2.0_momdn,short,15,478,62.30123888991088,3.8475755786821386,0.0,49.7907949790795,-16.15242442131786
0GUSDT,coiled_v0.15_oi2.0,abs_move,30,915,103.11401916047154,12.219692973738594,2.6350461133062275,51.038251366120214,83.11401916047154
0GUSDT,coiled_v0.15_oi2.0_momup,long,30,367,129.56885844311697,33.84664413939017,10.959762016595764,55.313351498637594,13.846644139390172
0GUSDT,coiled_v0.15_oi2.0_momdn,short,30,478,89.81363425134107,2.6568983945277367,3.7006116837096092,51.88284518828452,-17.343101605472263
0GUSDT,coiled_v0.15_oi2.0,abs_move,60,915,158.02151143106326,24.679980532793977,4.7136460051855344,51.693989071038246,138.02151143106326
0GUSDT,coiled_v0.15_oi2.0_momup,long,60,367,206.99306045820305,56.85109413797773,12.603528988115453,55.04087193460491,36.85109413797773
0GUSDT,coiled_v0.15_oi2.0_momdn,short,60,478,130.02090897226014,-4.311353801917074,9.156009903905638,51.46443514644351,-24.311353801917072
