symbol,gross_bps,sig_str,hold,entry_time,exit_time,exit_reason,net_tk,net_mk,month,sig_bucket
BANUSDT,-237.83232820861255,4.62940344084832,3,2025-10-17 08:20:00,2025-10-17 08:35:00,cross,-257.8323282086126,-245.83232820861255,2025-10,4-5
BANUSDT,180.49049324882827,6.095457609476535,6,2026-01-17 21:25:00,2026-01-17 21:55:00,cross,160.49049324882827,172.49049324882827,2026-01,5-7
CCUSDT,169.79257609055497,4.174475101493611,14,2026-02-09 02:10:00,2026-02-09 03:20:00,cross,149.79257609055497,161.79257609055497,2026-02,4-5
BIOUSDT,518.037167496661,4.032300013810485,19,2025-08-07 11:00:00,2025-08-07 12:35:00,cross,498.037167496661,510.037167496661,2025-08,4-5
BIOUSDT,239.80367574488514,4.047204790623662,24,2025-08-27 12:50:00,2025-08-27 14:50:00,maxhold,219.80367574488514,231.80367574488514,2025-08,4-5
BIOUSDT,-3705.249059908309,5.513797567676586,7,2025-10-10 20:55:00,2025-10-10 21:30:00,cross,-3725.249059908309,-3713.249059908309,2025-10,5-7
BCHUSDT,737.3042314039324,9.956153920497187,16,2025-10-10 21:20:00,2025-10-10 22:40:00,cross,717.3042314039324,729.3042314039324,2025-10,7+
BCHUSDT,-131.84966468250846,4.308842748696627,24,2026-01-03 01:55:00,2026-01-03 03:55:00,maxhold,-151.84966468250846,-139.84966468250846,2026-01,4-5
BCHUSDT,-222.10306182637197,4.042926089610797,21,2026-02-28 22:35:00,2026-03-01 00:20:00,cross,-242.10306182637197,-230.10306182637197,2026-02,4-5
BERAUSDT,9180.672268907563,11.720749136687319,6,2025-10-10 21:20:00,2025-10-10 21:50:00,cross,9160.672268907563,9172.672268907563,2025-10,7+
BTRUSDT,-1849.657157369,4.803947146068249,12,2025-10-10 21:10:00,2025-10-10 22:10:00,cross,-1869.657157369,-1857.657157369,2025-10,4-5
BTRUSDT,962.4275027317797,5.0171405025885285,21,2026-02-12 09:30:00,2026-02-12 11:15:00,cross,942.4275027317797,954.4275027317797,2026-02,5-7
BTCUSDT,-43.70921453978882,5.615033043215243,13,2025-07-10 21:15:00,2025-07-10 22:20:00,cross,-63.70921453978882,-51.70921453978882,2025-07,5-7
BTCUSDT,960.0687796596529,6.035235515481405,12,2025-10-10 21:15:00,2025-10-10 22:15:00,cross,940.0687796596529,952.0687796596529,2025-10,5-7
BTCUSDT,10.42594704509181,4.077933435854831,17,2026-01-15 16:00:00,2026-01-15 17:25:00,cross,-9.57405295490819,2.42594704509181,2026-01,4-5
BNBUSDT,996.0020680723413,9.810639418837468,12,2025-10-10 21:25:00,2025-10-10 22:25:00,cross,976.0020680723413,988.0020680723413,2025-10,7+
BNBUSDT,132.29954706075242,4.802867901129477,3,2025-11-21 07:30:00,2025-11-21 07:45:00,cross,112.29954706075242,124.29954706075242,2025-11,4-5
CAKEUSDT,1965.599022590614,4.475178133431081,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,1945.599022590614,1957.599022590614,2025-10,4-5
CAKEUSDT,1267.7363471374338,4.161537877516599,14,2025-10-10 22:00:00,2025-10-10 23:10:00,cross,1247.7363471374338,1259.7363471374338,2025-10,4-5
COAIUSDT,15320.54284034635,4.375123527988384,24,2025-10-06 08:00:00,2025-10-06 10:00:00,maxhold,15300.54284034635,15312.54284034635,2025-10,4-5
COAIUSDT,1088.860757883221,5.482238525724157,4,2025-10-10 21:15:00,2025-10-10 21:35:00,cross,1068.860757883221,1080.860757883221,2025-10,5-7
COAIUSDT,431.51264454263537,4.183210549959287,19,2025-11-07 14:15:00,2025-11-07 15:50:00,cross,411.51264454263537,423.51264454263537,2025-11,4-5
COAIUSDT,-376.65452607266724,4.006337296323525,15,2025-12-14 10:05:00,2025-12-14 11:20:00,cross,-396.65452607266724,-384.65452607266724,2025-12,4-5
COAIUSDT,93.16770186335476,4.014344970773833,13,2026-01-03 11:45:00,2026-01-03 12:50:00,cross,73.16770186335476,85.16770186335476,2026-01,4-5
CHZUSDT,5120.237773574708,4.4761957225479705,6,2025-10-10 21:20:00,2025-10-10 21:50:00,reversal,5100.237773574708,5112.237773574708,2025-10,4-5
