symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
GALAUSDT,2026-02-06,2026-02,1770340680000,1770340740000,25.724368,-2.625724,-11.198533,10311.10,-11.55
GALAUSDT,2026-02-06,2026-02,1770340740000,1770340800000,22.952390,33.495217,25.043745,10309.94,25.82
GALAUSDT,2026-02-06,2026-02,1770346860000,1770346920000,10.346466,36.684894,28.328051,10312.53,29.21
SEIUSDT,2026-02-06,2026-02,1770360360000,1770360420000,19.229846,1.369452,-6.458462,10315.45,-6.66
SEIUSDT,2026-02-06,2026-02,1770383460000,1770383520000,53.481225,5.255539,-2.319057,10314.78,-2.39
CRVUSDT,2026-02-07,2026-02,1770424860000,1770424920000,28.189587,-27.566773,-35.531872,10314.54,-36.65
CRVUSDT,2026-02-07,2026-02,1770424980000,1770425040000,30.110092,59.062914,48.733910,10310.88,50.25
GALAUSDT,2026-02-07,2026-02,1770426420000,1770426480000,11.905155,25.815579,17.940506,10315.90,18.51
CRVUSDT,2026-02-07,2026-02,1770427320000,1770427380000,14.542621,27.501833,19.341504,10317.75,19.96
GALAUSDT,2026-02-07,2026-02,1770438540000,1770438600000,15.654271,2.317490,-5.887305,10319.75,-6.08
GALAUSDT,2026-02-07,2026-02,1770438960000,1770439020000,9.226818,34.805485,25.906572,10319.14,26.73
SEIUSDT,2026-02-07,2026-02,1770482040000,1770482100000,26.480132,9.003209,1.330555,10321.81,1.37
CRVUSDT,2026-02-08,2026-02,1770513840000,1770513900000,11.104456,35.194439,25.872522,10321.95,26.71
CRVUSDT,2026-02-08,2026-02,1770514680000,1770514740000,8.482366,3.895591,-3.664471,10324.62,-3.78
CRVUSDT,2026-02-08,2026-02,1770529080000,1770529140000,9.750744,35.344942,26.792303,10324.24,27.66
GALAUSDT,2026-02-08,2026-02,1770534060000,1770534120000,9.757328,26.379472,17.861745,10327.01,18.45
GALAUSDT,2026-02-08,2026-02,1770536040000,1770536100000,13.527249,14.433476,6.029457,10328.85,6.23
GALAUSDT,2026-02-08,2026-02,1770538680000,1770538740000,9.596202,7.213265,-0.470815,10329.48,-0.49
CRVUSDT,2026-02-09,2026-02,1770596280000,1770596340000,10.563121,-11.862232,-21.633883,10329.43,-22.35
CRVUSDT,2026-02-09,2026-02,1770596340000,1770596400000,17.962348,23.831499,12.875039,10327.19,13.30
CRVUSDT,2026-02-09,2026-02,1770601200000,1770601260000,15.875364,11.890531,2.515545,10328.52,2.60
GALAUSDT,2026-02-09,2026-02,1770611760000,1770611820000,12.256112,38.654354,30.598908,10328.78,31.60
GALAUSDT,2026-02-09,2026-02,1770612480000,1770612540000,14.784155,21.753727,13.577712,10331.94,14.03
GALAUSDT,2026-02-09,2026-02,1770613620000,1770613680000,16.270802,12.080203,4.025925,10333.35,4.16
CRVUSDT,2026-02-10,2026-02,1770683160000,1770683220000,10.312889,39.432177,30.672547,10333.76,31.70
GALAUSDT,2026-02-10,2026-02,1770684180000,1770684240000,29.876150,29.199449,20.523524,10336.93,21.22
CRVUSDT,2026-02-10,2026-02,1770684840000,1770684900000,18.413051,47.415215,37.069107,10339.05,38.33
GALAUSDT,2026-02-10,2026-02,1770685440000,1770685500000,17.133271,9.708726,1.523965,10342.89,1.58
